profile,pair,response_id,first_backend,continuation_backend,warm_replica_return,cold_latency_ms,continuation_latency_ms,input_tokens,cached_tokens,cache_hit_ratio,salt
load-only,1,resp_019f5b99-fbe4-7622-97d5-1e08ecda123a,1,1,True,1315.491,325.064,6653,6592,0.9908312039681346,load-only-1-bcfb66f9e609469ba100ed08ff222da6
load-only,2,resp_019f5b9a-04f8-7753-94ef-eb2daaae7e72,1,0,False,1267.437,1308.696,6653,0,0.0,load-only-2-d015f5b70b564e84b3e2d795f6cb4570
load-only,3,resp_019f5b9a-112a-70d0-9877-9f2181cd1477,1,1,True,1251.571,328.635,6653,6592,0.9908312039681346,load-only-3-d023bc5e520b4642b5b3c76178a3b923
load-only,4,resp_019f5b9a-19b6-7460-8b11-90d4acaada38,1,1,True,1281.469,417.696,6653,6592,0.9908312039681346,load-only-4-f0bebda489904f83b2af5857a9452118
load-only,5,resp_019f5b9a-23a7-7a72-a08f-5ab8e0ddcc87,0,1,False,1280.071,1287.252,6653,0,0.0,load-only-5-c83d710ec9ed42aaa17ac0c59c82d30d
load-only,6,resp_019f5b9a-304c-70c1-9486-866750b82c2d,1,0,False,1263.754,1279.143,6653,0,0.0,load-only-6-7c1b7006fb174362bfcfc68011fbc316
load-only,7,resp_019f5b9a-3c83-7742-a559-81c84d953ae2,0,0,True,1283.837,346.781,6653,6592,0.9908312039681346,load-only-7-8989e3c7fe5f4323a05593c616bef47c
load-only,8,resp_019f5b9a-451b-7c13-bb46-1d82b0136bc8,1,0,False,1277.743,1280.832,6653,0,0.0,load-only-8-4d93d81aafd34174bcaebb7a0bd24ff1
load-only,9,resp_019f5b9a-51c3-7033-b6f7-eb903d60c635,0,0,True,1320.714,295.187,6653,6592,0.9908312039681346,load-only-9-eb5fa22ef3664e8e9c6f2bed9704d9cc
load-only,10,resp_019f5b9a-5a6b-7e13-965b-0a15db9c4604,1,0,False,1283.064,1275.413,6653,0,0.0,load-only-10-a9d12224b85b4f4c8853e2f27606f6e3
load-only,11,resp_019f5b9a-66f3-70f3-a5a0-9377b1be2aba,1,0,False,1279.711,1266.208,6653,0,0.0,load-only-11-a27c360f5a7f447ea5f8fb3f9a97edf6
load-only,12,resp_019f5b9a-734e-72c0-93bf-fd4426b12ae3,0,0,True,1295.668,320.584,6653,6592,0.9908312039681346,load-only-12-30e4223b1f2c4155b906108f491f6f44
