profile,pair,response_id,first_backend,continuation_backend,warm_replica_return,cold_latency_ms,continuation_latency_ms,input_tokens,cached_tokens,cache_hit_ratio,salt
precise,1,resp_019f5b9b-1cd4-7943-89e7-a18319365c29,1,1,True,1283.113,342.293,6653,6592,0.9908312039681346,precise-1-986b4a907962462f8dd4e4e83f91e201
precise,2,resp_019f5b9b-2584-70f2-bdc2-baedb6cc12df,0,0,True,1270.011,306.071,6653,6592,0.9908312039681346,precise-2-2668e2707ea34283a3d6c9a76fee5366
precise,3,resp_019f5b9b-2e0a-7d81-b4a7-7694d665d60e,1,1,True,1299.921,306.383,6653,6592,0.9908312039681346,precise-3-0ccc98b7b5b1403aa60d6a549295da5b
precise,4,resp_019f5b9b-3695-7182-aae5-0fa651a34736,0,0,True,1286.589,300.805,6653,6592,0.9908312039681346,precise-4-2cab0b6417db40d5b29e7d7224de9e5b
precise,5,resp_019f5b9b-3f21-7033-80de-eb228518a1be,1,1,True,1304.668,306.25,6653,6592,0.9908312039681346,precise-5-a1f1b5e691424c57978d2ea45d513486
precise,6,resp_019f5b9b-47e4-77f1-a6a0-1dd2d51eec4a,0,0,True,1290.08,312.999,6653,6592,0.9908312039681346,precise-6-a8ff244fd470496c91aefb4cf07c8e04
precise,7,resp_019f5b9b-510f-79b3-a010-34a4194cf371,1,1,True,1300.424,323.26,6653,6592,0.9908312039681346,precise-7-e3e49bc977204b19bb282d066381ee7c
precise,8,resp_019f5b9b-599e-7770-b997-b5101f844a8b,0,0,True,1318.259,342.457,6653,6592,0.9908312039681346,precise-8-7793b2c578de4283b530a388e264a560
precise,9,resp_019f5b9b-624a-7580-b698-998761902f55,1,1,True,1264.774,311.754,6653,6592,0.9908312039681346,precise-9-2282d7a89e8841e99f3b27cecc26d1a1
precise,10,resp_019f5b9b-6ab2-7c90-90fc-071ffd1ad38b,0,0,True,1321.075,316.084,6653,6592,0.9908312039681346,precise-10-df44acd48cb244e8afb6fec0da37490f
precise,11,resp_019f5b9b-7381-7811-98b8-5f225fa18f48,1,1,True,1285.658,316.782,6653,6592,0.9908312039681346,precise-11-a0c7d96f2ae748d59738b895eacdc673
precise,12,resp_019f5b9b-7c41-7ae1-be70-e19375aad553,0,0,True,1319.35,312.635,6653,6592,0.9908312039681346,precise-12-1e031234fcc64b75b98751f1dd25b220
